                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84962,                0.71888,                 1.2918,                0.97005,                      1,                  0.995,                0.90451,                0.53194,                0.33184,                0.98425,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                0.84356,                0.65603,                 1.2199,                0.97262,                      1,                  0.995,                0.90455,                0.52993,                0.32433,                0.98266,             4.2021e-05,             4.2021e-05,             4.2021e-05
                      3,                0.83103,                0.68242,                 1.2527,                 0.9712,                      1,                  0.995,                0.89274,                0.52227,                0.31999,                0.97637,             6.8621e-05,             6.8621e-05,             6.8621e-05
                      4,                0.90398,                0.71289,                 1.2553,                0.96835,                      1,                  0.995,                0.88673,                0.51133,                0.31969,                0.97269,             9.4088e-05,             9.4088e-05,             9.4088e-05
                      5,                0.81556,                0.62343,                 1.2071,                 0.9696,                      1,                  0.995,                0.88949,                0.49717,                0.32818,                0.96604,             0.00011842,             0.00011842,             0.00011842
                      6,                0.76138,                0.67338,                 1.2256,                0.97674,                      1,                  0.995,                0.90042,                0.48507,                0.31226,                0.96027,             0.00014163,             0.00014163,             0.00014163
                      7,                0.75124,                0.56027,                 1.1806,                0.98007,                      1,                  0.995,                 0.9019,                0.47668,                0.30074,                0.95495,              0.0001637,              0.0001637,              0.0001637
                      8,                0.77431,                0.56188,                 1.2087,                0.98123,                      1,                  0.995,                0.88611,                0.47265,                0.28309,                0.95189,             0.00018464,             0.00018464,             0.00018464
                      9,                0.68758,                0.45927,                 1.0957,                0.98092,                      1,                  0.995,                0.88439,                0.47215,                0.28571,                0.95124,             0.00020445,             0.00020445,             0.00020445
                     10,                0.75009,                0.53241,                  1.114,                0.98054,                      1,                  0.995,                0.88591,                0.47308,                0.28226,                0.95198,             0.00022313,             0.00022313,             0.00022313
                     11,                 0.6545,                0.51453,                 1.1293,                0.98127,                      1,                  0.995,                0.89333,                0.47764,                0.28498,                0.95475,             0.00024067,             0.00024067,             0.00024067
                     12,                0.66534,                0.40579,                 1.0699,                0.98117,                      1,                  0.995,                0.89723,                0.47871,                0.29253,                0.95631,             0.00025709,             0.00025709,             0.00025709
                     13,                0.71479,                0.75266,                 1.1661,                0.98033,                      1,                  0.995,                0.90235,                0.47703,                0.29817,                0.95426,             0.00027237,             0.00027237,             0.00027237
                     14,                0.72092,                0.48264,                 1.1041,                0.97869,                      1,                  0.995,                 0.9056,                0.47273,                0.29561,                0.95188,             0.00028652,             0.00028652,             0.00028652
                     15,                0.71071,                0.49683,                 1.1135,                0.97165,                 0.9881,                  0.995,                0.89643,                  0.473,                0.29698,                0.95124,             0.00029954,             0.00029954,             0.00029954
                     16,                0.57469,                0.44438,                 1.0215,                 0.9688,                 0.9713,                  0.995,                0.89747,                0.46737,                0.29979,                0.94918,             0.00031142,             0.00031142,             0.00031142
                     17,                0.66534,                0.42993,                 1.0352,                0.96432,                0.97654,                  0.995,                 0.9067,                0.46018,                0.29771,                0.94558,             0.00032218,             0.00032218,             0.00032218
                     18,                0.66551,                 0.4548,                 1.1089,                0.96243,                0.98622,                  0.995,                0.91319,                0.44984,                0.29565,                0.94381,              0.0003318,              0.0003318,              0.0003318
                     19,                0.65361,                0.43754,                 1.1158,                0.97408,                      1,                  0.995,                0.92061,                0.44532,                0.28439,                0.94363,             0.00034029,             0.00034029,             0.00034029
                     20,                0.78023,                0.54084,                 1.1704,                 0.9818,                      1,                  0.995,                0.92055,                0.43846,                0.28244,                0.94286,             0.00034765,             0.00034765,             0.00034765
                     21,                0.65452,                0.43253,                 1.0867,                0.98495,                      1,                  0.995,                0.91964,                0.43678,                0.27395,                0.94372,             0.00035388,             0.00035388,             0.00035388
                     22,                0.66983,                0.48447,                  1.066,                0.98439,                      1,                  0.995,                0.90641,                0.43669,                0.27021,                0.94553,             0.00035897,             0.00035897,             0.00035897
                     23,                 0.6641,                0.42808,                 1.1423,                 0.9845,                      1,                  0.995,                0.90641,                0.43722,                0.28061,                 0.9451,             0.00036294,             0.00036294,             0.00036294
                     24,                0.63388,                0.42992,                 1.0671,                0.98531,                      1,                  0.995,                  0.906,                0.44095,                0.28277,                0.94488,             0.00036577,             0.00036577,             0.00036577
                     25,                0.53528,                0.35276,                 1.0281,                 0.9853,                      1,                  0.995,                0.90738,                0.44487,                 0.2856,                0.94643,             0.00036747,             0.00036747,             0.00036747
                     26,                0.59123,                0.38774,                 1.0718,                0.98478,                      1,                  0.995,                0.91368,                0.44845,                0.28832,                 0.9492,             0.00036804,             0.00036804,             0.00036804
                     27,                0.49723,                0.34088,                 1.0058,                0.98304,                      1,                  0.995,                 0.9147,                0.44709,                0.29243,                0.95168,             0.00036748,             0.00036748,             0.00036748
                     28,                0.62999,                0.41556,                 1.0951,                0.98304,                      1,                  0.995,                 0.9147,                0.44709,                0.29243,                0.95168,             0.00036578,             0.00036578,             0.00036578
                     29,                0.48042,                0.38187,                0.99557,                0.98129,                      1,                  0.995,                0.90624,                0.45545,                0.29551,                0.95784,             0.00036295,             0.00036295,             0.00036295
                     30,                 0.6712,                0.44396,                 1.0845,                0.97816,                      1,                  0.995,                0.91289,                0.46174,                0.29458,                0.96075,               0.000359,               0.000359,               0.000359
                     31,                0.49541,                0.39065,                 1.0261,                0.97816,                      1,                  0.995,                0.91289,                0.46174,                0.29458,                0.96075,             0.00035391,             0.00035391,             0.00035391
                     32,                0.56018,                0.34964,                 1.0715,                0.97574,                0.99382,                  0.995,                0.90887,                0.46857,                0.29796,                 0.9616,             0.00034768,             0.00034768,             0.00034768
                     33,                0.56872,                 0.4164,                 1.0566,                0.97527,                0.99095,                  0.995,                0.89912,                0.47338,                0.29719,                0.96201,             0.00034033,             0.00034033,             0.00034033
                     34,                0.61729,                0.39933,                 1.0963,                0.97527,                0.99095,                  0.995,                0.89912,                0.47338,                0.29719,                0.96201,             0.00033185,             0.00033185,             0.00033185
                     35,                 0.5221,                0.34413,                 0.9829,                0.97832,                0.99509,                  0.995,                0.89737,                0.47628,                0.29999,                0.96228,             0.00032223,             0.00032223,             0.00032223
                     36,                0.55969,                0.37688,                 1.0077,                0.97995,                      1,                  0.995,                0.89605,                0.47652,                0.30136,                0.96377,             0.00031148,             0.00031148,             0.00031148
                     37,                0.55631,                0.36491,                 1.1232,                0.97995,                      1,                  0.995,                0.89605,                0.47652,                0.30136,                0.96377,              0.0002996,              0.0002996,              0.0002996
                     38,                0.47403,                0.38607,                 1.0128,                0.98156,                      1,                  0.995,                0.89543,                0.47884,                0.29946,                0.96538,             0.00028659,             0.00028659,             0.00028659
                     39,                0.50199,                 0.3813,                0.99432,                0.98366,                      1,                  0.995,                0.89544,                0.48224,                0.29728,                 0.9671,             0.00027244,             0.00027244,             0.00027244
                     40,                0.49071,                0.40887,                 1.0146,                0.98366,                      1,                  0.995,                0.89544,                0.48224,                0.29728,                 0.9671,             0.00025717,             0.00025717,             0.00025717
                     41,                0.45571,                0.49109,                 1.0129,                0.98422,                      1,                  0.995,                0.89037,                 0.4838,                0.29952,                0.96786,             0.00024076,             0.00024076,             0.00024076
                     42,                0.42213,                0.35214,                0.98796,                 0.9854,                      1,                  0.995,                0.88954,                0.48345,                0.29871,                0.96792,             0.00022322,             0.00022322,             0.00022322
                     43,                0.36966,                0.30874,                0.89507,                 0.9854,                      1,                  0.995,                0.88954,                0.48345,                0.29871,                0.96792,             0.00020455,             0.00020455,             0.00020455
                     44,                0.42363,                0.32421,                0.93994,                0.98411,                      1,                  0.995,                0.88959,                0.48409,                0.30327,                0.96897,             0.00018474,             0.00018474,             0.00018474
                     45,                0.37716,                0.31731,                0.92131,                0.98411,                      1,                  0.995,                0.88959,                0.48409,                0.30327,                0.96897,             0.00016381,             0.00016381,             0.00016381
                     46,                0.43617,                0.37324,                0.95224,                0.98416,                      1,                  0.995,                0.89619,                0.48526,                 0.3048,                0.97033,             0.00014174,             0.00014174,             0.00014174
                     47,                0.43757,                0.40337,                0.94769,                0.98416,                      1,                  0.995,                0.89619,                0.48526,                 0.3048,                0.97033,             0.00011854,             0.00011854,             0.00011854
                     48,                0.40421,                0.34389,                0.96352,                0.98436,                      1,                  0.995,                0.88789,                0.48717,                0.30818,                0.97172,             9.4214e-05,             9.4214e-05,             9.4214e-05
                     49,                0.50106,                0.37602,                 1.0429,                0.98436,                      1,                  0.995,                0.88789,                0.48717,                0.30818,                0.97172,             6.8752e-05,             6.8752e-05,             6.8752e-05
                     50,                0.42072,                0.30002,                0.91023,                0.98508,                      1,                  0.995,                0.89014,                0.48784,                0.30764,                0.97379,             4.2158e-05,             4.2158e-05,             4.2158e-05
